budget,industry,target_age_group,campaign_goal,impressions,clicks,conversions,engagement_rate,cost_per_click,best_platform
31148.67,Food,13-17,Traffic,3482966,437971,53258,0.1276,0.07,YouTube Shorts
6552.07,Tech,35-44,Awareness,585230,8692,463,0.012,0.75,Pinterest
42520.08,Real Estate,35-44,Engagement,4876970,247403,19159,0.0464,0.17,Pinterest
38705.5,Food,13-17,Awareness,4023187,534214,55726,0.1279,0.07,YouTube Shorts
15394.55,Real Estate,25-34,Conversion,1334246,139558,17844,0.1058,0.11,TikTok
43560.28,Gaming,35-44,Engagement,3875458,71279,2619,0.0245,0.61,Pinterest
12242.14,Tech,25-34,Conversion,882526,54325,3742,0.0679,0.23,Twitter
26763.08,Services,18-24,Traffic,2477905,104111,12383,0.0469,0.26,Instagram
49239.97,Food,25-34,Traffic,3910588,90406,2716,0.0279,0.54,Pinterest
16487.73,Services,13-17,Traffic,1316398,206716,30517,0.1473,0.08,YouTube Shorts
15486.03,Travel,18-24,Engagement,1231828,167732,12705,0.1351,0.09,TikTok
1886.1,Tech,13-17,Conversion,135031,12329,160,0.0997,0.15,YouTube Shorts
1436.96,Gaming,18-24,Lead Generation,106676,12542,1953,0.1158,0.11,YouTube Shorts
21800.58,Healthcare,35-44,Traffic,2025337,72336,7168,0.0357,0.3,LinkedIn
2625.83,Automotive,35-44,Traffic,202466,5799,363,0.0295,0.45,LinkedIn
13692.45,Fashion,25-34,Conversion,868643,22237,2270,0.0198,0.62,LinkedIn
20673.39,Fashion,25-34,Traffic,2025015,153815,21136,0.0747,0.13,Instagram
15118.85,Food,35-44,Engagement,1391278,90146,6766,0.0638,0.17,Pinterest
42341.1,Real Estate,45-54,Traffic,4712313,109172,6478,0.0211,0.39,Facebook
2354.55,Food,35-44,Awareness,176552,6467,362,0.0409,0.36,Twitter
28795.15,Real Estate,18-24,Awareness,2699717,195138,26093,0.0783,0.15,TikTok
30913.6,Food,25-34,Traffic,2602985,155604,23841,0.0613,0.2,TikTok
35883.0,Food,13-17,Lead Generation,2460631,358608,35622,0.1433,0.1,TikTok
32390.66,Fashion,35-44,Traffic,3715506,0,0,0.0049,32390.66,Facebook
17570.25,Real Estate,25-34,Engagement,1059340,24446,2508,0.0354,0.72,LinkedIn
38409.81,Automotive,25-34,Conversion,2829724,72795,3138,0.0286,0.53,Twitter
41515.29,Travel,25-34,Lead Generation,3587528,490753,64846,0.1401,0.08,YouTube Shorts
30082.97,Gaming,13-17,Engagement,2016933,233332,26490,0.1104,0.13,TikTok
44255.93,Food,18-24,Awareness,4257227,291788,15590,0.0719,0.15,Instagram
35187.77,Real Estate,35-44,Engagement,3366623,122597,12461,0.0299,0.29,LinkedIn
26626.2,E-commerce,18-24,Awareness,1935093,201220,11341,0.1029,0.13,TikTok
16124.85,Food,35-44,Conversion,1349134,22636,2305,0.0057,0.71,LinkedIn
43761.52,Healthcare,13-17,Conversion,3834878,342363,53927,0.0906,0.13,YouTube Shorts
21743.93,Fashion,35-44,Traffic,2037448,10019,532,0.008,2.17,Facebook
26417.14,Automotive,35-44,Engagement,2113799,44289,1773,0.0182,0.6,Facebook
32671.91,Healthcare,35-44,Lead Generation,2029283,24603,1780,0.023,1.33,Twitter
1373.89,Education,35-44,Engagement,124728,6564,545,0.0442,0.21,LinkedIn
10090.32,Fashion,13-17,Awareness,881230,29496,4920,0.0362,0.34,YouTube Shorts
19073.11,Gaming,25-34,Conversion,2003126,73263,6492,0.0245,0.26,LinkedIn
10104.43,Services,25-34,Traffic,965739,34323,1481,0.0357,0.29,Pinterest
14385.74,Fashion,25-34,Conversion,1157376,22309,1793,0.0186,0.64,LinkedIn
31883.13,Services,18-24,Conversion,2544245,148508,19137,0.062,0.21,Instagram
13870.19,Travel,18-24,Lead Generation,1413734,51336,6815,0.0334,0.27,TikTok
31769.31,Education,35-44,Engagement,2655487,124886,16079,0.0487,0.25,Instagram
10845.6,Education,18-24,Lead Generation,1237787,62362,3490,0.0585,0.17,Instagram
43476.61,Fashion,45-54,Engagement,4442289,173185,11824,0.0375,0.25,Facebook
10787.52,Automotive,25-34,Lead Generation,1053673,87579,12894,0.0865,0.12,TikTok
25205.28,Tech,13-17,Awareness,2454776,270885,47745,0.108,0.09,YouTube Shorts
34935.48,Healthcare,18-24,Lead Generation,3198925,69602,7236,0.0381,0.5,Instagram
7900.55,Travel,45-54,Conversion,606186,15033,1366,0.0199,0.53,LinkedIn
30201.43,Food,35-44,Engagement,2060725,60730,5215,0.0378,0.5,Facebook
2685.7,Services,35-44,Awareness,166861,5588,633,0.0245,0.48,LinkedIn
24662.06,Tech,35-44,Engagement,1340002,126445,24075,0.0954,0.2,Instagram
25383.75,Tech,45-54,Traffic,1791583,49485,4766,0.028,0.51,LinkedIn
15154.5,Travel,35-44,Traffic,1677073,112502,4938,0.0611,0.13,Pinterest
21112.37,Tech,25-34,Lead Generation,1890274,50790,3911,0.02,0.42,LinkedIn
23955.38,Tech,25-34,Traffic,1876768,155130,13116,0.0873,0.15,Instagram
3250.14,E-commerce,18-24,Traffic,320057,10567,760,0.043,0.31,Instagram
47999.37,Tech,35-44,Traffic,3824565,127903,10289,0.0344,0.38,Facebook
18772.19,E-commerce,45-54,Lead Generation,1688923,55111,4150,0.0294,0.34,Twitter
45741.0,Tech,25-34,Awareness,3797186,272126,17007,0.0651,0.17,Instagram
47496.79,Services,35-44,Engagement,5327456,208929,22535,0.0397,0.23,LinkedIn
1001.77,E-commerce,35-44,Awareness,83151,1386,121,0.0226,0.72,LinkedIn
48478.58,Education,13-17,Awareness,4075309,258469,23328,0.0579,0.19,YouTube Shorts
6917.4,Travel,13-17,Awareness,566792,63598,9691,0.112,0.11,TikTok
4767.84,Tech,25-34,Lead Generation,410657,17078,1235,0.0407,0.28,Instagram
14367.71,Gaming,13-17,Conversion,1127417,190959,14844,0.1647,0.08,TikTok
30635.87,Food,25-34,Traffic,1799393,213581,20034,0.1149,0.14,Instagram
30546.57,E-commerce,45-54,Awareness,2563661,85882,8040,0.0278,0.36,Twitter
33887.24,Fashion,25-34,Traffic,3122016,306239,39213,0.0973,0.11,YouTube Shorts
1594.2,Real Estate,25-34,Traffic,150628,8692,1607,0.0627,0.18,Instagram
39405.86,Gaming,13-17,Awareness,2548298,124414,18680,0.0519,0.32,TikTok
11637.19,Automotive,25-34,Traffic,914959,24795,1905,0.024,0.47,LinkedIn
48034.32,E-commerce,35-44,Traffic,4483041,422340,28979,0.0946,0.11,Pinterest
8390.48,Gaming,18-24,Traffic,531809,56381,8120,0.109,0.15,Instagram
37968.17,Gaming,35-44,Traffic,3424948,114921,9014,0.0318,0.33,Pinterest
25101.92,Fashion,25-34,Engagement,2482994,174148,22210,0.0785,0.14,Instagram
45768.33,Services,18-24,Lead Generation,3954659,413236,47026,0.1175,0.11,YouTube Shorts
22123.21,Food,35-44,Lead Generation,1699705,147194,3270,0.0856,0.15,Pinterest
32111.24,Fashion,25-34,Lead Generation,3130429,25485,2021,0.0191,1.26,LinkedIn
22058.63,Travel,25-34,Awareness,1555436,87972,3719,0.0588,0.25,TikTok
18848.7,Food,35-44,Lead Generation,1864015,76300,4837,0.0423,0.25,Facebook
44541.21,Education,18-24,Engagement,3490799,508242,83409,0.1395,0.09,YouTube Shorts
46316.68,Food,25-34,Traffic,4304555,222391,18110,0.0459,0.21,Pinterest
26804.7,Healthcare,13-17,Conversion,2399737,28636,2325,0.0192,0.94,Twitter
11430.65,Education,25-34,Conversion,1010139,113215,18638,0.115,0.1,TikTok
36518.99,Healthcare,25-34,Traffic,2914931,56973,3125,0.0171,0.64,LinkedIn
35598.31,Real Estate,18-24,Awareness,2015141,113622,16413,0.0587,0.31,Instagram
19606.59,Education,45-54,Lead Generation,1613959,79734,7945,0.0437,0.25,Facebook
32387.26,Education,25-34,Engagement,2996295,181109,21264,0.0587,0.18,Instagram
46952.61,Gaming,35-44,Awareness,3889719,65138,3224,0.0235,0.72,Facebook
44463.91,Gaming,25-34,Engagement,3934987,111794,6401,0.0266,0.4,Pinterest
40001.91,Food,18-24,Traffic,3246405,370529,53846,0.1133,0.11,YouTube Shorts
30246.98,Services,45-54,Lead Generation,2526358,185268,9981,0.0784,0.16,Twitter
15255.51,Real Estate,18-24,Engagement,1328550,73486,9602,0.0519,0.21,TikTok
48881.59,Gaming,18-24,Awareness,5256756,419190,25276,0.0776,0.12,Instagram
12361.3,Food,35-44,Lead Generation,1003124,19506,1614,0.0227,0.63,LinkedIn
43149.72,Real Estate,18-24,Traffic,3417503,285126,26831,0.0864,0.15,Instagram
31970.03,Fashion,35-44,Lead Generation,3384648,110548,7925,0.0378,0.29,Facebook
49670.96,Food,35-44,Lead Generation,4345373,353297,30042,0.0863,0.14,Pinterest
18847.35,Food,45-54,Conversion,1595904,63154,3416,0.0396,0.3,Twitter
25118.3,Food,35-44,Engagement,2511552,255811,4041,0.1005,0.1,Pinterest
42974.19,Education,25-34,Awareness,2892042,171258,32585,0.0601,0.25,Instagram
20673.09,Gaming,35-44,Conversion,1786605,37796,1862,0.0178,0.55,LinkedIn
43216.59,Services,35-44,Conversion,3586547,81834,4610,0.0265,0.53,Pinterest
26558.31,E-commerce,18-24,Conversion,1956243,81444,11102,0.0497,0.33,Instagram
43527.18,Services,45-54,Engagement,2901930,238274,6778,0.0857,0.18,Twitter
3758.74,Services,35-44,Awareness,293349,5376,516,0.0235,0.7,LinkedIn
32492.84,Education,13-17,Conversion,3937527,134310,5337,0.0329,0.24,Twitter
15320.55,Fashion,18-24,Engagement,1680692,134433,14430,0.0857,0.11,Instagram
22802.35,Education,55+,Lead Generation,1694548,53567,3256,0.0345,0.43,Twitter
24219.92,Fashion,35-44,Lead Generation,2117654,92816,6225,0.0439,0.26,Pinterest
47931.49,E-commerce,25-34,Traffic,2963413,78921,5534,0.025,0.61,LinkedIn
31621.49,Food,18-24,Lead Generation,3075261,550339,70192,0.1807,0.06,TikTok
31881.2,Education,35-44,Awareness,2495183,142854,14741,0.0543,0.22,LinkedIn
46058.09,Travel,18-24,Engagement,3814821,223008,29328,0.0616,0.21,YouTube Shorts
32481.71,Travel,35-44,Engagement,3488343,126665,11624,0.0287,0.26,Facebook
15731.23,E-commerce,18-24,Awareness,1256013,132472,25677,0.1051,0.12,YouTube Shorts
20474.52,Food,13-17,Engagement,1507750,161995,27478,0.1017,0.13,TikTok
30403.56,Gaming,13-17,Awareness,2234007,294421,25093,0.1298,0.1,TikTok
10421.47,Fashion,35-44,Engagement,887475,92023,17209,0.1063,0.11,Instagram
19667.91,Automotive,18-24,Traffic,2170268,357965,47099,0.1673,0.05,YouTube Shorts
3710.26,Food,18-24,Engagement,244059,24153,2492,0.1054,0.15,Instagram
30520.89,Services,13-17,Lead Generation,2882933,209261,33625,0.0617,0.15,TikTok
3844.88,Services,45-54,Lead Generation,393275,13803,1073,0.0303,0.28,Pinterest
20698.34,Healthcare,25-34,Conversion,1851848,90687,6040,0.0475,0.23,Instagram
34503.76,Food,55+,Conversion,2811424,88207,8341,0.0337,0.39,Facebook
43478.37,Gaming,25-34,Lead Generation,4395269,34016,1765,0.0199,1.28,Pinterest
24619.96,Travel,35-44,Traffic,2379970,221797,25620,0.0906,0.11,Instagram
27926.66,Gaming,55+,Awareness,1784662,73274,6235,0.041,0.38,Facebook
28559.8,E-commerce,45-54,Engagement,1513404,48607,3393,0.0282,0.59,LinkedIn
31654.69,Healthcare,35-44,Engagement,1841065,39642,722,0.0385,0.8,Pinterest
25558.17,Travel,35-44,Engagement,2647442,85557,8789,0.0315,0.3,LinkedIn
35050.57,Fashion,25-34,Conversion,3400802,98862,8880,0.0212,0.35,LinkedIn
25263.36,Travel,25-34,Traffic,2233933,200594,12872,0.0828,0.13,Pinterest
48869.38,Services,25-34,Engagement,3682097,35919,2792,0.0159,1.36,LinkedIn
40833.66,Automotive,25-34,Traffic,3609698,307728,22052,0.0766,0.13,TikTok
36638.2,Real Estate,25-34,Conversion,2980891,55077,3450,0.0164,0.67,Pinterest
33239.89,Fashion,18-24,Awareness,2438154,261354,16912,0.1124,0.13,TikTok
48400.15,Education,35-44,Engagement,4358875,24947,1865,0.0095,1.94,Facebook
36406.45,Services,13-17,Conversion,3273232,411727,28317,0.1267,0.09,YouTube Shorts
11179.77,Travel,25-34,Traffic,928799,19046,1496,0.0214,0.59,LinkedIn
16757.99,Fashion,13-17,Conversion,1261669,63837,7504,0.0446,0.26,YouTube Shorts
28532.11,Fashion,45-54,Traffic,2374609,66267,4877,0.0251,0.43,Facebook
46305.54,Real Estate,18-24,Lead Generation,3988148,138933,7173,0.0396,0.33,Twitter
2493.31,Real Estate,35-44,Traffic,248039,9250,729,0.0367,0.27,Pinterest
27316.97,Tech,35-44,Traffic,2215260,80214,7142,0.0295,0.34,LinkedIn
40865.84,Automotive,35-44,Traffic,3715645,345786,31994,0.0869,0.12,Instagram
25251.19,E-commerce,35-44,Engagement,2050735,3229,220,0.0055,7.82,Facebook
3029.22,Healthcare,35-44,Conversion,289485,4549,413,0.0067,0.67,Facebook
792.06,Real Estate,35-44,Lead Generation,72143,2548,327,0.037,0.31,Instagram
40841.77,E-commerce,13-17,Lead Generation,3463439,364051,23574,0.1138,0.11,TikTok
36627.93,Healthcare,25-34,Engagement,2622050,48557,4049,0.0189,0.75,LinkedIn
41994.97,Gaming,25-34,Engagement,3785657,151815,9847,0.0333,0.28,LinkedIn
44458.12,Healthcare,25-34,Traffic,4896029,78539,5011,0.0198,0.57,Twitter
36062.25,Gaming,18-24,Conversion,2494649,199664,21074,0.083,0.18,TikTok
719.0,Healthcare,35-44,Lead Generation,58684,1515,124,0.0201,0.47,Pinterest
16092.1,E-commerce,25-34,Awareness,1222670,146840,7950,0.1173,0.11,TikTok
41920.37,Travel,18-24,Engagement,3463576,143161,10087,0.0348,0.29,Twitter
18022.78,Tech,13-17,Awareness,1881876,89149,5164,0.0415,0.2,Twitter
11983.03,Automotive,25-34,Awareness,826696,21349,1737,0.0224,0.56,LinkedIn
24577.1,Travel,18-24,Awareness,1973106,97266,6224,0.0461,0.25,Twitter
11326.31,Food,18-24,Traffic,962376,87605,13658,0.0996,0.13,TikTok
38764.94,Healthcare,25-34,Lead Generation,4031143,709738,98227,0.1799,0.05,TikTok
2104.5,Automotive,13-17,Engagement,210146,31432,6340,0.1542,0.07,TikTok
31811.92,Healthcare,18-24,Traffic,2188642,249346,26168,0.1126,0.13,TikTok
40053.64,Automotive,18-24,Engagement,3402639,351029,45861,0.0931,0.11,YouTube Shorts
48754.03,Education,25-34,Traffic,5243829,201845,15779,0.0413,0.24,Pinterest
49458.12,Education,35-44,Awareness,5957515,282091,43656,0.0513,0.18,Instagram
20754.41,Tech,35-44,Awareness,1541857,77721,8930,0.0461,0.27,LinkedIn
6814.92,Automotive,45-54,Conversion,518391,3163,253,0.0053,2.15,Facebook
24949.49,Education,25-34,Lead Generation,2354024,155126,26191,0.0782,0.16,YouTube Shorts
12301.86,Fashion,25-34,Traffic,1172101,74684,8125,0.0662,0.16,Instagram
41813.94,Fashion,55+,Lead Generation,3443217,116588,6062,0.0347,0.36,Twitter
45167.33,Food,35-44,Conversion,3868646,89085,3691,0.0157,0.51,Twitter
37491.27,Automotive,55+,Lead Generation,2811485,71659,5050,0.025,0.52,Facebook
44489.29,E-commerce,18-24,Conversion,3406389,170774,24120,0.0469,0.26,Instagram
46646.81,Travel,25-34,Engagement,2887133,242015,21601,0.0895,0.19,Pinterest
27207.71,E-commerce,25-34,Traffic,2011415,105068,18954,0.0539,0.26,Instagram
24092.9,Fashion,13-17,Awareness,2050057,228667,25506,0.1078,0.11,TikTok
6609.41,Tech,45-54,Traffic,570567,30204,1313,0.0557,0.22,Twitter
39621.19,Travel,45-54,Traffic,3155294,91940,9661,0.0281,0.43,Facebook
29638.68,Real Estate,25-34,Engagement,2335485,213875,27110,0.1,0.14,TikTok
45185.72,Real Estate,13-17,Traffic,3914391,562806,73212,0.1381,0.08,YouTube Shorts
8089.32,Fashion,18-24,Lead Generation,673883,72578,9640,0.1096,0.11,TikTok
5508.09,Food,13-17,Conversion,449601,48141,7819,0.107,0.11,YouTube Shorts
912.79,Automotive,13-17,Traffic,71449,7119,684,0.1066,0.13,TikTok
26289.36,Food,25-34,Lead Generation,2505945,330236,45285,0.1265,0.08,TikTok
7944.72,Travel,25-34,Traffic,752044,23391,1604,0.0241,0.34,Twitter
48065.97,Real Estate,35-44,Lead Generation,4636835,100523,6370,0.0239,0.48,Pinterest
9076.99,Real Estate,13-17,Awareness,842079,61060,1948,0.0753,0.15,TikTok
37423.88,Tech,13-17,Engagement,2742950,176197,9658,0.0522,0.21,Twitter
38520.7,Tech,35-44,Awareness,3260328,142046,15682,0.0379,0.27,Pinterest
46407.95,Tech,45-54,Awareness,4066106,215349,27568,0.0532,0.22,LinkedIn
15525.93,Services,25-34,Engagement,1270777,41736,2814,0.0303,0.37,Instagram
40512.88,Tech,35-44,Conversion,4138611,287060,33659,0.0688,0.14,Instagram
2413.11,Healthcare,18-24,Engagement,166564,22824,3035,0.1347,0.11,TikTok
36297.67,Food,13-17,Conversion,3526249,87705,4677,0.0249,0.41,Twitter
33518.62,Automotive,35-44,Conversion,3324826,63727,7584,0.0315,0.53,Instagram
611.15,Gaming,13-17,Conversion,45278,5582,609,0.1259,0.11,YouTube Shorts
5473.87,Travel,18-24,Conversion,541176,21369,1670,0.0374,0.26,Twitter
43113.4,Education,45-54,Lead Generation,3240685,106608,3813,0.038,0.4,Facebook
14925.18,Travel,25-34,Lead Generation,960522,29576,2727,0.036,0.5,LinkedIn
19560.46,Education,13-17,Conversion,2219470,214050,12991,0.0991,0.09,YouTube Shorts
25713.87,Tech,25-34,Awareness,1869245,249189,29661,0.135,0.1,TikTok
13392.79,Tech,25-34,Engagement,1372411,93763,3922,0.0604,0.14,LinkedIn
40750.65,Tech,25-34,Lead Generation,4105850,300444,26924,0.0723,0.14,LinkedIn
1072.15,E-commerce,25-34,Lead Generation,92006,9328,1311,0.1046,0.11,YouTube Shorts
42942.26,Gaming,35-44,Conversion,4800098,56473,5804,0.0121,0.76,LinkedIn
21683.35,Healthcare,18-24,Conversion,1685272,85747,5513,0.0446,0.25,Twitter
41059.83,Real Estate,45-54,Engagement,3091898,98375,4974,0.0336,0.42,LinkedIn
36006.04,Automotive,25-34,Traffic,3020055,215624,30724,0.0781,0.17,Instagram
31226.94,Gaming,13-17,Lead Generation,2603657,30069,4867,0.0077,1.04,YouTube Shorts
10051.34,E-commerce,25-34,Conversion,912318,16436,1778,0.0206,0.61,LinkedIn
26916.88,Fashion,18-24,Conversion,2196183,372067,56995,0.1653,0.07,TikTok
36610.5,Travel,25-34,Awareness,2944393,367404,50546,0.1236,0.1,YouTube Shorts
14839.08,Food,45-54,Lead Generation,1008670,5332,371,0.0147,2.78,LinkedIn
8490.73,Automotive,18-24,Traffic,685451,23873,1310,0.0322,0.36,Twitter
3151.41,Food,55+,Engagement,339716,9679,617,0.0307,0.33,Twitter
40530.85,Automotive,35-44,Conversion,3864966,108329,5551,0.0217,0.37,Pinterest
22812.27,Real Estate,45-54,Lead Generation,2013570,43081,2788,0.0216,0.53,Facebook
45063.71,Healthcare,35-44,Awareness,3419196,74729,6870,0.0221,0.6,LinkedIn
24330.53,Services,13-17,Lead Generation,1817313,285984,32510,0.1677,0.09,YouTube Shorts
45918.98,Education,35-44,Awareness,4135400,99598,10309,0.0289,0.46,LinkedIn
18614.3,Food,45-54,Traffic,1047593,21999,808,0.0298,0.85,Pinterest
30080.85,Fashion,13-17,Lead Generation,2834041,209978,7020,0.0734,0.14,YouTube Shorts
16690.75,Tech,45-54,Conversion,1895787,102315,7576,0.0521,0.16,Twitter
12894.2,Food,45-54,Conversion,995298,17342,776,0.0196,0.74,Twitter
37814.26,Healthcare,45-54,Engagement,1964233,94943,3646,0.0437,0.4,Facebook
33916.24,Gaming,35-44,Engagement,2653210,48738,1844,0.0218,0.7,Facebook
38043.19,Healthcare,25-34,Awareness,2507599,269089,33452,0.1045,0.14,YouTube Shorts
48920.3,Gaming,35-44,Conversion,3946100,299664,24682,0.0801,0.16,Twitter
31572.97,Tech,45-54,Traffic,2611709,205948,20256,0.0843,0.15,Twitter
44011.74,E-commerce,45-54,Awareness,4293431,79438,1616,0.0137,0.55,Twitter
32589.32,Automotive,35-44,Lead Generation,2200842,169323,23124,0.0752,0.19,Instagram
35149.78,Real Estate,25-34,Awareness,2064244,11265,1793,0.008,3.12,TikTok
35959.34,Services,13-17,Lead Generation,2656686,178596,6796,0.0673,0.2,Twitter
18141.27,Real Estate,18-24,Traffic,1411841,48200,3765,0.0353,0.38,Twitter
39770.3,Real Estate,35-44,Awareness,3306555,103265,4122,0.0218,0.39,Facebook
11249.6,Travel,35-44,Traffic,940514,51356,1376,0.0573,0.22,Pinterest
4635.1,Services,25-34,Lead Generation,390744,27245,4060,0.0655,0.17,Instagram
46873.91,E-commerce,25-34,Engagement,3430406,186612,36233,0.0501,0.25,Instagram
24218.42,E-commerce,18-24,Engagement,1827997,239460,35116,0.1288,0.1,TikTok
6403.75,E-commerce,18-24,Awareness,454675,77166,5430,0.1685,0.08,YouTube Shorts
39110.71,Fashion,25-34,Awareness,2996932,50754,2539,0.0194,0.77,Twitter
40927.94,Travel,25-34,Lead Generation,3307252,142629,4159,0.0355,0.29,Twitter
3858.74,E-commerce,55+,Awareness,320883,10131,629,0.0291,0.38,Facebook
8342.12,Real Estate,18-24,Lead Generation,795947,129660,16833,0.1645,0.06,TikTok
6375.62,Automotive,13-17,Traffic,444294,40175,3818,0.0901,0.16,YouTube Shorts
9619.69,Tech,25-34,Lead Generation,890123,57310,4629,0.0618,0.17,Instagram
16776.35,Gaming,18-24,Lead Generation,1403237,113590,12402,0.0794,0.15,Instagram
31202.13,Fashion,18-24,Traffic,2822551,434965,15259,0.1483,0.07,YouTube Shorts
2773.43,E-commerce,35-44,Traffic,243959,19039,1926,0.0753,0.15,Instagram
28583.07,E-commerce,18-24,Lead Generation,2181277,176548,17120,0.0708,0.16,TikTok
4912.99,Food,18-24,Lead Generation,355052,23743,3154,0.0665,0.21,Instagram
35070.03,Automotive,25-34,Lead Generation,3559447,89990,5834,0.0195,0.39,LinkedIn
44005.72,Services,35-44,Traffic,3072998,43335,3534,0.0239,1.02,Pinterest
12646.27,Healthcare,55+,Conversion,879666,25040,1159,0.0324,0.51,Facebook
7740.84,Automotive,13-17,Conversion,760958,33196,1853,0.0403,0.23,Twitter
19986.49,E-commerce,25-34,Traffic,1428478,77602,10577,0.0526,0.26,Instagram
16159.34,Education,13-17,Lead Generation,1378098,136657,13156,0.0994,0.12,YouTube Shorts
35306.19,E-commerce,13-17,Engagement,2096408,305603,30451,0.1521,0.12,TikTok
48743.17,Education,45-54,Traffic,5190273,188450,13025,0.0376,0.26,Twitter
44654.32,Services,45-54,Lead Generation,3344347,62075,4547,0.0195,0.72,Facebook
44628.13,E-commerce,45-54,Engagement,4426879,150072,14474,0.0293,0.3,Facebook
23623.35,Fashion,18-24,Engagement,1828755,213631,34585,0.1227,0.11,TikTok
22842.82,Automotive,45-54,Lead Generation,2412599,92033,7330,0.0305,0.25,Twitter
43183.79,Healthcare,13-17,Engagement,3768739,543553,90961,0.1385,0.08,YouTube Shorts
2814.22,Education,25-34,Awareness,190356,14331,1239,0.0747,0.2,Instagram
2350.23,Real Estate,18-24,Conversion,187237,11433,711,0.0615,0.21,TikTok
25963.52,Healthcare,35-44,Conversion,1994909,50923,3469,0.0324,0.51,Twitter
47845.69,Healthcare,18-24,Engagement,3408222,362318,37796,0.1067,0.13,YouTube Shorts
26342.34,Education,13-17,Traffic,2292626,140485,13737,0.0709,0.19,TikTok
6960.68,Gaming,35-44,Engagement,608499,37901,2563,0.0684,0.18,Twitter
19024.06,Travel,45-54,Conversion,1454596,41211,2963,0.0297,0.46,Facebook
12711.87,Food,35-44,Traffic,803987,24983,2062,0.0353,0.51,LinkedIn
6481.1,Travel,25-34,Traffic,662538,22383,812,0.0313,0.29,Twitter
31079.2,Healthcare,13-17,Traffic,3164927,427614,55351,0.1269,0.07,TikTok
9516.03,Services,18-24,Conversion,814510,92031,11957,0.1152,0.1,TikTok
36710.26,E-commerce,35-44,Conversion,3559535,72125,4290,0.0224,0.51,Facebook
46498.79,Food,13-17,Lead Generation,4190154,476159,71099,0.1145,0.1,TikTok
42028.86,Fashion,25-34,Conversion,3558462,79089,6521,0.0226,0.53,Twitter
26678.94,Food,35-44,Awareness,2620363,147078,10754,0.0546,0.18,Pinterest
18224.02,Food,35-44,Traffic,1959583,122899,1630,0.0631,0.15,Pinterest
30955.89,Gaming,35-44,Conversion,2895663,90457,4745,0.0373,0.34,Facebook
32470.24,Tech,55+,Lead Generation,1841708,151565,6904,0.0847,0.21,Twitter
37810.86,E-commerce,18-24,Traffic,3376517,149213,10519,0.0418,0.25,Twitter
2436.04,Tech,18-24,Traffic,223491,13533,1721,0.0595,0.18,Instagram
46878.95,Tech,18-24,Traffic,3474358,427150,39037,0.1278,0.11,TikTok
38350.37,Fashion,35-44,Traffic,3474786,255107,13475,0.0691,0.15,Pinterest
10395.25,Travel,35-44,Awareness,896899,74802,12698,0.0818,0.14,Instagram
9324.44,Real Estate,35-44,Lead Generation,835897,24173,1525,0.0282,0.39,LinkedIn
30184.06,Gaming,18-24,Lead Generation,2327362,151999,14162,0.0745,0.2,TikTok
14675.66,Education,55+,Conversion,1339247,29180,2332,0.0288,0.5,Facebook
16952.15,Healthcare,18-24,Conversion,1612752,15641,3490,0.0078,1.08,Instagram
24277.96,Services,18-24,Awareness,2319674,244220,25998,0.1053,0.1,TikTok
42445.6,Fashion,18-24,Conversion,3852117,573383,84926,0.1474,0.07,TikTok
41014.5,Education,45-54,Lead Generation,3546923,46506,2915,0.0111,0.88,Facebook
34081.08,Travel,35-44,Lead Generation,2416192,45778,1315,0.0219,0.74,Facebook
40181.62,Tech,45-54,Engagement,2677423,161728,11201,0.0606,0.25,Twitter
43314.06,Automotive,25-34,Awareness,3787313,85193,5646,0.0189,0.51,Twitter
38634.41,Automotive,35-44,Conversion,3794177,134582,6950,0.0358,0.29,Facebook
39392.19,Travel,55+,Conversion,3767452,50215,2345,0.0134,0.78,Twitter
41336.93,Healthcare,55+,Engagement,3184604,69704,4296,0.0277,0.59,Facebook
8655.04,Gaming,35-44,Lead Generation,627858,18676,1254,0.0319,0.46,Pinterest
27761.05,Healthcare,35-44,Conversion,1747177,32820,2314,0.0202,0.85,LinkedIn
22081.78,Automotive,25-34,Conversion,1671854,60106,4812,0.0361,0.37,Twitter
25132.97,E-commerce,45-54,Traffic,1614201,28448,1898,0.0222,0.88,LinkedIn
40952.79,Education,18-24,Awareness,2143958,294409,43319,0.1293,0.14,YouTube Shorts
42230.4,Tech,45-54,Awareness,3424109,40610,3432,0.0199,1.04,Pinterest
13736.4,Healthcare,25-34,Engagement,1638166,52142,7068,0.0351,0.26,Instagram
22626.07,Travel,45-54,Engagement,1599482,48226,3033,0.0251,0.47,Facebook
40697.85,E-commerce,45-54,Engagement,3187131,98779,8892,0.0394,0.41,Twitter
32198.0,Healthcare,25-34,Awareness,2673143,70499,5118,0.0233,0.46,LinkedIn
1466.09,Real Estate,55+,Traffic,98643,1223,99,0.019,1.2,Facebook
12744.62,Travel,18-24,Awareness,927480,71885,6622,0.077,0.18,Instagram
5802.73,E-commerce,18-24,Conversion,544511,34564,4415,0.0643,0.17,Instagram
25091.71,Tech,35-44,Traffic,1832853,95559,7350,0.0472,0.26,Pinterest
37798.8,Healthcare,55+,Traffic,4425920,170244,13103,0.0284,0.22,Facebook
17422.34,Services,55+,Traffic,1198058,69408,4546,0.0578,0.25,Twitter
19814.36,Healthcare,25-34,Awareness,1979614,41521,914,0.0239,0.48,Pinterest
